Date,Symbol,Entry,Exit,Quantity,Investment,Sale Value,Profit,Return %,Status
2026-07-13 21:24:30,ADANIENT.NS,3174.7,3177.5,7,22222.9,22242.5,19.6,0.09,CLOSED
2026-07-13 21:24:54,ADANIENT.NS,3174.7,3177.5,7,22222.9,22242.5,19.6,0.09,CLOSED
