Date,Symbol,Entry Price,Exit Price,Quantity,Stop Loss,Target,Gross Profit,Brokerage,Net Profit,Exit Reason
2026-07-10 21:24:24,RELIANCE.NS,1463.34,1433.35,34,1434.07,1521.87,-1019.66,98.49,-1118.15,Stop Loss
2026-07-10 21:24:24,RELIANCE.NS,1493.07,1462.48,33,1463.21,1552.79,-1009.47,97.53,-1107.0,Stop Loss
2026-07-10 21:24:24,RELIANCE.NS,1508.66,1477.75,32,1478.49,1569.01,-989.12,95.57,-1084.69,Stop Loss
